,0,1,2
1583,30,330,1615.8896
1585,30,608,284.52332
1587,30,769,140.79199
1589,30,787,171.21716
1591,30,838,947.6426
1593,30,961,389.37952
1595,30,1131,412.6112
1597,30,1408,78.33118
1599,30,1592,172.4497
1601,30,1768,269.07666
1603,30,2774,828.8894
1605,30,3028,419.9478
1607,30,3240,221.30664
1609,30,4363,193.99463
1611,30,5979,536.22974
1613,30,6017,129.3169
1615,30,6036,2608.878
1617,30,6045,1497.5017
1619,30,6051,3092.3057
1621,30,6077,1307.4287
1623,30,6099,2134.329
1625,30,6105,2324.4175
1627,30,6121,2309.1494
1629,30,6132,2615.9436
1631,30,6144,1231.8823
1633,30,6167,2093.826
1635,31,227,903.40125
1637,31,411,152.75146
1639,31,623,261.9181
1641,31,712,107.74109
1643,31,739,902.0713
1645,31,1051,164.88702
1647,31,1526,127.02515
1649,31,1591,587.35913
1651,31,1615,245.0333
1653,31,2155,0.98612595
1655,31,3177,235.65259
1657,31,3508,152.26038
1659,31,3903,5.38826e-05
1660,31,3925,124.89206
1662,31,3947,305.71082
1664,31,4319,136.57182
1666,31,4564,1.2320099
1668,31,4721,171.95918
1670,31,6581,1224.7837
1672,31,6594,2425.232
1674,31,6609,426.563
1676,31,6625,2517.5542
1678,31,6629,2761.5127
1680,31,6662,1999.7786
1682,31,6666,2312.0547
1684,31,6684,2230.0452
1686,31,6711,2284.4797
1688,31,6714,2463.0469
1690,31,6761,737.25
1692,32,15,907.9136
1694,32,217,995.3989
1696,32,323,309.91602
1698,32,604,117.221985
1700,32,752,118.747406
1702,32,927,789.1019
1704,32,1337,203.9408
1706,32,1383,222.94153
1708,32,1621,725.61597
1710,32,1872,220.03497
1712,32,2250,249.95087
1714,32,3693,284.44647
1716,32,4429,0.47686768
1718,32,5558,2579.735
1720,32,5563,620.66016
1722,32,5566,2149.9548
1724,32,5573,2510.6208
1726,32,5608,1212.8445
1728,32,5615,1873.7356
1730,32,5621,1809.6257
1732,32,5648,2611.4302
1734,32,5668,2106.46
1736,32,5679,1731.5074
1738,33,194,236.26288
1740,33,311,917.9359
1742,33,347,228.74316
1744,33,731,214.72943
1746,33,851,712.4507
1748,33,859,1201.1534
1750,33,964,750.037
1752,33,996,153.34631
1754,33,2048,446.75732
1756,33,2068,156.65762
1758,33,2304,790.1572
1760,33,3099,630.4583
1762,33,3210,272.4314
1764,33,3596,2.2553349
1766,33,3616,192.8552
1768,33,3660,442.6455
1770,33,4162,229.59613
1772,33,7436,795.9647
1774,33,7474,2868.2886
1776,33,7486,2638.675
1778,33,7503,2677.941
1780,33,7512,236.172
